Name,Latitude,Longitude,Type,subtype1,subtype2,City,Address,Link,,
Hannaford,45.6585195,-68.6879845,grocery,y,y,Millinocket ME,843 Central Street  Millinocket,https://www.google.com/maps/place/?q=place_id:ChIJsRUJN1izukwRnlFI46-MlsQ,,
Henry's Market Inc,42.8793316,-73.1810832,grocery,y,y,Bennington VT,831 Main Street  Bennington,https://www.google.com/maps/place/?q=place_id:ChIJG8zD79WV4IkRh4Oau3f2SCk,,
Ingles Market,34.9504205,-83.7569937,grocery,y,y,Hiawassee GA,94 North Main Street  Hiawassee,https://www.google.com/maps/place/?q=place_id:ChIJN5VX-VsvX4gRIUXW1M2clHs,,
Ingles Market,35.1575843,-83.3927257,grocery,y,y,Franklin TN,1257 Georgia Road  Franklin,https://www.google.com/maps/place/?q=place_id:ChIJn209QqAlWYgRnvbCejRqLLo,,
Ingles Markets,35.17855370000001,-83.3867012,grocery,y,y,Franklin TN,152 West Palmer Street  Franklin,https://www.google.com/maps/place/?q=place_id:ChIJtV8rCOIkWYgRkVNH_7gjFDo,,
Ingles Markets,36.8459185,-81.5016755,grocery,y,y,Marion VA,1185 North Main Street  Marion,https://www.google.com/maps/place/?q=place_id:ChIJh0fnP8fSUYgRbc0aZOizGzI,,
Karns Foods,40.1612151,-77.1378254,grocery,y,y,Boiling Springs PA,413 Forge Road  Boiling Springs,https://www.google.com/maps/place/?q=place_id:ChIJ2YEiPX3hyIkR_Cd6O2bWJBI,,
Kroger,37.3969385,-79.911198,grocery,y,y,Daleville VA,72 Kingston Dr  Daleville,https://www.google.com/maps/place/?q=place_id:ChIJ-W57wrcaTYgRhN7jI_6IbEg,,
Kroger,38.0656119,-78.888324,grocery,y,y,Waynesboro VA,245 Arch Ave  Waynesboro,https://www.google.com/maps/place/?q=place_id:ChIJRTxYeaFjs4kRrkGDvZHFlt0,,
La Placita Market,41.2907167,-73.9177973,grocery,y,y,Peekskill NY,1049 Park Street  Peekskill,https://www.google.com/maps/place/?q=place_id:ChIJd6B8YtvIwokRgVezIh3g3jQ,,
LaBonne's Market - Salisbury,41.98231500000001,-73.421598,grocery,y,y,Salisbury CT,22 Academy Street  Salisbury,https://www.google.com/maps/place/?q=place_id:ChIJ53mrfJ9_54kRKtYc1VlMtLc,,
Market 32,41.362331,-74.709599,grocery,y,y,Port Jervis NY,1025 Pennsylvania Avenue  Matamoras,https://www.google.com/maps/place/?q=place_id:ChIJd5KWFPNFw4kRTELX2kek2Tc,,
Market 32,43.60390400000001,-72.978458,grocery,y,y,Rutland VT,38 Rutland Shopping Plaza  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJfQGEHWck4IkRsv-AqiMhSe0,,
MARTIN'S,38.9107017,-78.1884738,grocery,y,y,Front Royal VA,409 South Street  Front Royal,https://www.google.com/maps/place/?q=place_id:ChIJQ3GobsPFtYkRLRxbSV3Artw,,
Peekskill Mini Mart,41.2910007,-73.9189354,grocery,y,y,Peekskill NY,5 Bank Street  Peekskill,https://www.google.com/maps/place/?q=place_id:ChIJE5JHfwnJwokRstwR9ivyGnc,,
Price Chopper,43.1756492,-73.0522417,grocery,y,y,Manchester Center VT,263 Depot Street UNIT 1  Manchester Center,https://www.google.com/maps/place/?q=place_id:ChIJZS101e9e4IkReYyy2AATW8U,,
Price Chopper,44.0412858,-71.6699944,grocery,y,y,North Woodstock and Lincoln NH,10 Papermill Drive  Lincoln,https://www.google.com/maps/place/?q=place_id:ChIJE6idhY-BtEwR4px3YSgrdvI,,
Rangeley IGA Supermarket - ME,44.9544444,-70.6377778,grocery,y,y,Rangeley ME,2185 Main St  Rangeley,https://www.google.com/maps/place/?q=place_id:ChIJH8IWk088sUwRixYrmd434ac,,
Redi Mart Supermarket,36.28134019999999,-82.1777661,grocery,y,y,Hampton TN,5110 U.S. 19E  Hampton,https://www.google.com/maps/place/?q=place_id:ChIJSUb6JL-BUIgRKMEurBdgb94,,
Redner's Warehouse Markets,40.5436312,-75.9764318,grocery,y,y,Hamburg PA,500 Hawk Ridge Drive  Hamburg,https://www.google.com/maps/place/?q=place_id:ChIJMTmAemXbxYkRYgUUxeg2qqA,,
Save A Lot,41.3764196,-74.69349,grocery,y,y,Port Jervis NY,100 Pike Street  Port Jervis,https://www.google.com/maps/place/?q=place_id:ChIJ4euaG_BPw4kRo4K5JuBB1z8,,
Save A Lot,41.30603610000001,-73.9115185,grocery,y,y,Peekskill NY,1099 North Division Street  Peekskill,https://www.google.com/maps/place/?q=place_id:ChIJu1V9dBjJwokRCn2nrkRhgr0,,
Sav-Mor Foods,35.1639592,-83.3993857,grocery,y,y,Franklin TN,398 Westgate Plaza  Franklin,https://www.google.com/maps/place/?q=place_id:ChIJL6gYzKElWYgRyeZPBk2tnc4,,
Shaw's,43.17195160000001,-73.0615685,grocery,y,y,Manchester Center VT,64 Equinox Terrace  Manchester Center,https://www.google.com/maps/place/?q=place_id:ChIJG5VBLEpe4IkR0cLchpqd780,,
ShopRite of Westfall Town Center,41.3518079,-74.7206629,grocery,y,y,Port Jervis NY,111 Hulst Dr Ste 724  Matamoras,https://www.google.com/maps/place/?q=place_id:ChIJeZRfHAFFw4kRjx9YN4aL0u0,,
Target Grocery,40.1960207,-77.1566585,grocery,y,y,Carlisle PA,246 Westminster Drive  Carlisle,https://www.google.com/maps/place/?q=place_id:ChIJxeFQDhzhyIkRReHAhgjRyHY,,
Target Grocery,41.31702500000001,-74.1518239,grocery,y,y,Harriman NY,128 Bailey Farm Road  Monroe,https://www.google.com/maps/place/?q=place_id:ChIJB38uDF_XwokR7BH56NwiPiE,,
Vermont Discount Store,43.6128509,-72.9884187,grocery,y,y,Rutland VT,88 Cleveland Avenue  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJWzA7ankk4IkRc-fIMbgOaMI,,
Walmart,36.846392,-81.5008322,grocery,y,y,Marion VA,1193 N Main St  Marion,https://www.google.com/maps/place/?q=place_id:ChIJRQjZFMfSUYgRHe6m1eH4Wv8,,
Walmart,43.6053053,-72.980631,grocery,y,y,Rutland VT,90 Shopping Plaza Rd  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJ40MFsEQk4IkR804i0yeJIoI,,
Walmart Neighborhood Market,38.0720172,-78.8952278,grocery,y,y,Waynesboro VA,1211 W Broad St Ste A  Waynesboro,https://www.google.com/maps/place/?q=place_id:ChIJd2gxtbpjs4kR5iWNqbG4RM4,,
Walmart Supercenter,35.1665068,-83.3654046,grocery,y,y,Franklin TN,273 Commons Dr  Franklin,https://www.google.com/maps/place/?q=place_id:ChIJqRQ5i5QkWYgR6VQeK6zF03o,,
Walmart Supercenter,37.329362,-80.7085492,grocery,y,y,Pearisburg VA,160 Kinter Way  Pearisburg,https://www.google.com/maps/place/?q=place_id:ChIJTS5O6jrcTYgR6ocjp4Q-cWU,,
Walmart Supercenter,40.1898979,-77.1946326,grocery,y,y,Carlisle PA,60 Noble Blvd  Carlisle,https://www.google.com/maps/place/?q=place_id:ChIJgSljUgoDxokRBYsSTpgFnJg,,
Walmart Supercenter,40.5640614,-76.0121716,grocery,y,y,Hamburg PA,1800 Tilden Ridge Dr  Hamburg,https://www.google.com/maps/place/?q=place_id:ChIJGc9LP5TcxYkRObFnMBCUnUI,,
Walmart Supercenter,41.3167559,-74.148402,grocery,y,y,Harriman NY,288 Larkin Dr  Monroe,https://www.google.com/maps/place/?q=place_id:ChIJ1Yh5NhbXwokRHpW-1TW-knY,,
Walmart Supercenter,42.8975719,-73.212162,grocery,y,y,Bennington VT,210 Northside Dr  Bennington,https://www.google.com/maps/place/?q=place_id:ChIJj9398O2W4IkRFyCsJn2L3Ps,,
Wild Oats Market,42.7037618,-73.1867252,grocery,y,y,Williamstown MA,320 Main Street  Williamstown,https://www.google.com/maps/place/?q=place_id:ChIJH3rPTwO64IkRIBHcRmtuAoM,,
Bon Secours Community Hospital,41.3676682,-74.6818346,hospital,y,y,Port Jervis NY,160 East Main Street  Port Jervis,https://www.google.com/maps/place/?q=place_id:ChIJuUW86KtIw4kRJOKYLEgqLrM,,
Carilion Giles Community Hospital,37.3331827,-80.7129522,hospital,y,y,Pearisburg VA,159 Hartley Way  Pearisburg,https://www.google.com/maps/place/?q=place_id:ChIJR7sbHILeTYgRWm5UENK9i7Q,,
Chatuge Regional Hospital,34.94664849999999,-83.7537878,hospital,y,y,Hiawassee GA,110 South Main Street  Hiawassee,https://www.google.com/maps/place/?q=place_id:ChIJv9VwMlwvX4gRInxd_l5gGEk,,
