latitude,longitude,distance_from_last_marker,mile_marker_number
35.01564624,-83.58154572,1,81
35.02617923,-83.57493387,1,82
35.03390065,-83.56411088,1,83
35.04605287,-83.56476909,1,84
35.04249295,-83.55797251,1,85
35.04477563,-83.54867902,1,86
35.03928827,-83.54474733,1,87
35.03480914,-83.53674207,1,88
35.02351769,-83.52773955,1,89
35.01528196,-83.52228872,1,90
35.00801006,-83.5254917,1,91
35.00523556,-83.51600493,1,92
35.0022614,-83.50740856,1,93
35.00000722,-83.49566271,1,94
35.00641263,-83.48710888,1,95
35.00983769,-83.48069234,1,96
35.02253966,-83.47894295,1,97
35.02883757,-83.47704675,1,98
35.03842764,-83.47149222,1,99
35.04994687,-83.47326205,1,100
35.05949231,-83.47830488,1,101
35.06647906,-83.4879925,1,102
35.07066071,-83.49662852,1,103
35.07789804,-83.50594432,1,104
35.08283887,-83.51476221,1,105
35.08807667,-83.52207195,1,106
35.09728638,-83.52587049,1,107
35.10402094,-83.53408952,1,108
35.112369,-83.54321121,1,109
35.1181624,-83.54727552,1,110
35.12128843,-83.55417271,1,111
35.12643087,-83.55767266,1,112
35.13608131,-83.55839639,1,113
35.14056083,-83.57000146,1,114
35.14579824,-83.58143762,1,115
35.15077395,-83.58019434,1,116
35.16186747,-83.57810682,1,117
35.16961424,-83.58255467,1,118
35.17527828,-83.58060936,1,119
35.17718304,-83.56709133,1,120
35.18445284,-83.56106465,1,121
35.19451128,-83.5621159,1,122
35.20395076,-83.56770488,1,123
35.2134275,-83.56377428,1,124
35.21998371,-83.56232254,1,125
35.23002582,-83.56662446,1,126
35.23666928,-83.56079646,1,127
35.24689896,-83.56419892,1,128
35.25759418,-83.56880316,1,129
35.26677362,-83.57205923,1,130
35.27351213,-83.57708756,1,131
35.28037258,-83.58128945,1,132
35.28271807,-83.59169849,1,133
35.29201823,-83.594331,1,134
35.30275482,-83.59076337,1,135
35.31173485,-83.58751469,1,136
35.32297,-83.58751579,1,137
35.33018294,-83.59200133,1,138
35.3347533,-83.60150658,1,139
35.34139882,-83.60701401,1,140
35.3456277,-83.61881417,1,141
35.34113921,-83.63424308,1,142
35.33960567,-83.63710354,1,143
35.33714675,-83.6511629,1,144
35.33321647,-83.66368899,1,145
35.32821505,-83.6756358,1,146
35.32584015,-83.68759925,1,147
35.32969743,-83.69912769,1,148
35.33456825,-83.70411536,1,149
35.34248525,-83.7090596,1,150
35.35298346,-83.71660058,1,151
35.35775009,-83.71763123,1,152
35.36882795,-83.71536089,1,153
35.37404837,-83.72628359,1,154
35.37083557,-83.74003935,1,155
35.3764192,-83.75417511,1,156
35.38669825,-83.76045647,1,157
35.39728001,-83.76500693,1,158
35.40519436,-83.76632303,1,159
35.4118117,-83.7673792,1,160
35.41720963,-83.77282994,1,161
35.42044417,-83.78181023,1,162
35.4232926,-83.79698725,1,163
35.42835952,-83.79984148,1,164
35.43437523,-83.79776645,1,165
35.44075536,-83.79410109,1,166
35.44645494,-83.78950663,1,167
35.45076134,-83.79967817,1,168
35.45753161,-83.80881067,1,169
35.46530608,-83.81226831,1,170
35.47497165,-83.81025295,1,171
35.48459778,-83.81084735,1,172
35.48904069,-83.81541748,1,173
35.50189269,-83.81307669,1,174
35.51450815,-83.8112644,1,175
35.52453355,-83.81981809,1,176
35.53269912,-83.81078471,1,177
35.53968562,-83.80098327,1,178
35.54246927,-83.79783616,1,179
35.54964292,-83.78465227,1,180
35.55346436,-83.77552677,1,181
35.56226691,-83.77528138,1,182
35.56198368,-83.76040817,1,183
35.55986715,-83.7496911,1,184
35.56463965,-83.73882771,1,185
35.56231589,-83.7233789,1,186
35.56678311,-83.70946357,1,187
35.5693906,-83.69720922,1,188
35.56889572,-83.68337689,1,189
35.56958004,-83.66742217,1,190
35.56829988,-83.65195129,1,191
35.5677799,-83.63638268,1,192
35.57216446,-83.62240815,1,193
35.5791983,-83.60914057,1,194
35.57422337,-83.59845476,1,195
35.56667334,-83.58733254,1,196
35.56401664,-83.57465063,1,197
35.56505334,-83.56120015,1,198
35.56479411,-83.54532042,1,199
35.56497076,-83.52941347,1,200
35.56275264,-83.51456648,1,201
35.56340869,-83.49845194,1,202
35.56847307,-83.48529328,1,203
35.57867419,-83.47970823,1,204
35.58788113,-83.47277305,1,205
35.59282877,-83.46289974,1,206
