latitude,longitude,elevation,distance_along_trail_miles
34.654438,-84.103125,2917.322928,10.854627
34.653843,-84.102714,2950.459412,10.90354
34.653537,-84.102274,2963.254688,10.937264
34.653577,-84.102225,2973.425292,10.941752
34.653894,-84.102321,2996.391172,10.965305
34.654049,-84.102154,3022.637892,10.980854
34.653817,-84.101923,3037.729756,11.002318
34.653605,-84.101188,3087.598524,11.048867
34.653784,-84.101103,3118.110336,11.063713
34.653856,-84.100999,3129.265192,11.071939
34.653834,-84.10086,3141.4043,11.080546
34.653472,-84.10032,3176.837372,11.121791
34.653578,-84.1001,3191.601152,11.136959
34.653459,-84.0992,3212.598528,11.190419
34.653533,-84.098776,3210.630024,11.215765
34.653526,-84.097775,3220.800628,11.274342
34.653631,-84.097425,3225.06572,11.296134
34.653699,-84.09596,3278.871496,11.382582
34.653878,-84.09548,3296.916116,11.413578
34.653736,-84.095367,3305.774384,11.425729
34.653641,-84.094938,3323.49092,11.451931
34.653354,-84.094654,3338.2547,11.478325
34.65318,-84.094315,3348.753388,11.501753
34.652902,-84.094116,3348.753388,11.524612
34.652719,-84.094161,3339.238952,11.537957
34.65256,-84.093336,3328.740264,11.587542
34.652423,-84.09316,3315.616904,11.601911
34.652769,-84.092117,3272.309816,11.668178
34.653133,-84.091766,3257.546036,11.701243
34.652898,-84.091526,3226.378056,11.723833
34.653027,-84.091392,3210.630024,11.736249
34.652907,-84.091289,3200.131336,11.746859
34.652844,-84.091026,3171.588028,11.763808
34.652611,-84.090948,3160.433172,11.781054
34.652502,-84.090808,3147.96598,11.792561
34.652444,-84.090487,3131.233696,11.812052
34.652522,-84.089787,3088.91086,11.854172
34.652337,-84.089108,3069.553904,11.896155
34.652234,-84.088063,3045.603772,11.957879
34.652465,-84.087557,3008.202196,11.992461
34.652833,-84.087249,2963.582772,12.025294
34.653228,-84.086486,2896.325552,12.07955
34.653203,-84.086239,2887.1392,12.094212
34.652998,-84.085748,2857.283556,12.126904
34.653068,-84.084294,2812.664132,12.212523
34.65341,-84.083875,2832.349172,12.247178
34.654004,-84.082713,2879.921352,12.32762
34.654559,-84.082345,2904.527652,12.372663
34.65536,-84.082159,2933.07096,12.430652
34.656527,-84.082526,2916.338676,12.516048
34.6574,-84.082606,2939.960724,12.578178
34.657918,-84.082396,2964.23894,12.617128
34.658647,-84.081807,2977.034216,12.679211
34.65863,-84.081583,2974.409544,12.692376
34.65845,-84.081386,2979.986972,12.709586
34.658153,-84.080727,2983.267812,12.753488
34.658013,-84.079935,2984.908232,12.800852
34.658127,-84.079383,2979.00272,12.834146
34.658089,-84.079133,2984.252064,12.849046
34.658177,-84.078269,2969.488284,12.900036
34.6577,-84.077474,2950.787496,12.957605
34.65754,-84.076944,2934.055212,12.990764
34.65735,-84.076165,2914.370172,13.038417
34.657241,-84.074795,2898.294056,13.118965
34.657772,-84.074206,2863.517152,13.170389
34.657855,-84.073911,2855.97122,13.188672
34.658097,-84.0735,2834.317676,13.218484
34.658465,-84.073035,2824.475156,13.256186
34.658711,-84.07285,2818.897728,13.276712
34.659177,-84.072728,2808.727124,13.310512
34.65954,-84.072424,2821.194316,13.341848
34.660008,-84.072236,2805.1182,13.376886
34.660262,-84.07226,2789.042084,13.395185
34.660774,-84.072131,2768.700876,13.432408
34.661069,-84.072368,2762.46728,13.457497
34.661488,-84.072488,2749.015836,13.488081
34.662147,-84.071848,2730.315048,13.54799
34.662303,-84.071578,2733.267804,13.567264
34.662136,-84.071114,2718.504024,13.596999
34.662201,-84.070948,2723.425284,13.607783
34.662101,-84.070689,2718.504024,13.624528
34.662116,-84.070509,2716.863604,13.635112
34.661974,-84.070252,2708.005336,13.653273
34.661919,-84.06961,2697.834732,13.691068
34.66102,-84.06795,2647.309796,13.807548
34.660773,-84.067055,2664.370164,13.862827
34.659752,-84.065544,2626.31242,13.97721
34.659694,-84.065413,2624.343916,13.98591
34.659749,-84.065258,2629.921344,13.995834
34.659294,-84.06492,2599.081448,14.03409
34.659143,-84.064483,2598.42528,14.06179
34.659181,-84.063677,2582.677248,14.1091
34.659428,-84.063506,2582.02108,14.129239
34.659365,-84.063276,2563.97646,14.143837
34.659857,-84.062779,2546.259924,14.189323
34.659889,-84.062354,2517.060448,14.214917
34.65979,-84.062269,2535.433152,14.224221
34.659643,-84.062287,2546.588008,14.2349
34.659419,-84.062453,2547.244176,14.253489
34.658999,-84.062551,2565.61688,14.283971
34.658838,-84.062212,2590.22318,14.307332
34.658709,-84.062145,2596.78486,14.317348
34.658528,-84.062375,2598.42528,14.335925
34.658167,-84.062625,2614.501396,14.365527
34.657668,-84.062727,2642.060452,14.401741
34.657257,-84.062902,2654.527644,14.432671
34.656603,-84.06283,2665.354416,14.479194
34.656266,-84.062509,2653.871476,14.509628
34.656254,-84.062227,2661.417408,14.526207
34.65599,-84.062041,2644.35704,14.548079
34.65574,-84.061431,2622.703496,14.588121
34.656485,-84.059038,2622.047328,14.737669
34.657035,-84.058195,2629.59326,14.800499
34.657241,-84.057636,2632.8741,14.836299
34.657437,-84.057441,2638.123444,14.854285
34.657415,-84.057218,2638.779612,14.867419
34.657095,-84.056915,2647.63788,14.896226
34.657148,-84.056823,2651.902972,14.902837
34.657482,-84.056712,2662.073576,14.92743
34.657666,-84.056554,2674.540768,14.94358
34.657891,-84.056222,2691.601136,14.968908
34.657589,-84.055244,2705.05258,15.03002
34.657465,-84.055051,2708.005336,15.044329
34.65704,-84.054811,2716.863604,15.077565
34.656778,-84.054781,2734.58014,15.096506
34.656683,-84.054683,2738.189064,15.105368
34.656944,-84.054155,2711.942344,15.141709
34.656592,-84.053807,2702.427908,15.17393
34.656504,-84.053525,2687.992212,15.191781
34.656008,-84.053104,2675.853104,15.234722
34.655466,-84.052867,2668.96334,15.275529
34.655287,-84.052826,2662.40166,15.288485
34.655009,-84.053033,2672.900348,15.311676
34.654417,-84.052634,2657.152316,15.35973
34.654142,-84.052599,2664.698248,15.379355
34.653959,-84.052101,2652.231056,15.411321
34.653989,-84.052007,2655.183812,15.417242
34.65436,-84.052195,2660.76124,15.445728
34.654734,-84.05217,2671.588012,15.47232
34.654956,-84.052004,2681.430532,15.490888
34.654929,-84.051883,2692.257304,15.498514
34.655262,-84.051452,2713.582764,15.533269
34.655133,-84.050606,2738.189064,15.583807
34.65471,-84.049932,2764.435784,15.633566
34.654766,-84.049677,2771.653632,15.64906
34.654957,-84.049487,2781.168068,15.666656
34.654464,-84.04897,2808.070956,15.713119
34.654327,-84.048637,2818.569644,15.73497
34.654121,-84.048389,2823.16282,15.755554
34.654215,-84.047932,2840.551272,15.783302
34.654177,-84.04761,2849.081456,15.802397
34.654462,-84.047171,2876.640512,15.835483
34.65407,-84.046314,2900.26256,15.892952
34.654169,-84.046068,2902.887232,15.908962
34.654375,-84.045962,2910.10508,15.924866
34.654814,-84.045528,2925.853112,15.965101
34.6548,-84.045119,2928.477784,15.989046
34.655036,-84.044581,2942.91348,16.024778
34.655007,-84.044243,2954.724504,16.044784
34.654498,-84.04345,2972.44104,16.103608
34.654413,-84.042952,2985.236316,16.13345
34.654605,-84.042469,2990.157576,16.16481
34.655071,-84.04214,2975.72188,16.203095
34.655182,-84.041668,2979.330804,16.231803
34.655184,-84.041259,2987.860988,16.25578
34.654959,-84.040077,2979.330804,16.326735
34.654474,-84.039192,2999.672012,16.388965
34.65437,-84.038628,3014.435792,16.422882
34.654185,-84.038212,3019.685136,16.450528
34.653735,-84.037673,3021.325556,16.495339
