Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Guinea Brook ,41.82403793332242,-73.38744814636522,River/Stream,0,Intersection Point,water.csv,,,,,
Gulf Hagas Brook ,45.5308839,-69.3144876,River/Stream,0,Intersection Point,water.csv,,,,,
Gulf Prong ,35.660741599999994,-83.31981349999998,River/Stream,0.004555936,Closest Point,water.csv,,,,,
Gulf Stream ,43.65485397958598,-72.56618439077876,River/Stream,0,Intersection Point,water.csv,,,,,
Gulfside Spring ,44.3097323,-71.3125039,Spring,0,Original Point,water.csv,,,,,
Gunn Brook ,41.79922249496707,-73.40049696999048,River/Stream,0.001569479,Closest Point,water.csv,,,,,
Gunn Brook ,41.809093299999994,-73.392585,River/Stream,0.003393081,Closest Point,water.csv,,,,,
Gunn Brook ,41.81064700000001,-73.390994,River/Stream,0.004176803,Closest Point,water.csv,,,,,
Gunna Creek ,35.5683178,-83.7029737,River/Stream,0.00139747,Closest Point,water.csv,,,,,
Ham Smith Branch ,36.347484,-82.07940889999999,River/Stream,0.003419069,Closest Point,water.csv,,,,,
Hamburg Dam ,40.5920247,-75.9442159,Dam,0,Original Point,water.csv,,,,,
Hamburg Reservoir ,40.58986980000001,-75.94469049999998,Pond,0.001582499,Closest Point,water.csv,,,,,
Hampton Creek ,36.126086,-82.05188639999999,River/Stream,0.004932822,Closest Point,water.csv,,,,,
Hannah Branch ,36.43973261178767,-81.98591344387566,River/Stream,0.002296942,Closest Point,water.csv,,,,,
Hardy Stream ,44.9575964,-70.4562101,River/Stream,0.019237097,Closest Point,water.csv,,,,,
Harrington Pond ,44.11389799999999,-71.744558,Other,0.000420027,Closest Point,water.csv,,,,,
Hatch Brook ,41.838164816675025,-73.39230647049541,River/Stream,0,Intersection Point,water.csv,,,,,
Hatch Brook Falls ,41.8356233,-73.386654,Waterfall,0,Original Point,water.csv,,,,,
Hawksbill Creek ,38.51603389999999,-78.449323,River/Stream,0.003592114,Closest Point,water.csv,,,,,
Hawksbill Creek ,38.30016146993512,-78.6312133396768,River/Stream,0.00540783,Closest Point,water.csv,,,,,
Hawksbill Spring ,38.5575566,-78.3878739,Spring,0,Original Point,water.csv,,,,,
Hays Branch ,36.222513590272605,-82.04025773344156,River/Stream,0.002267348,Closest Point,water.csv,,,,,
Hazel Creek ,35.5638497945466,-83.57588528577962,River/Stream,0.00265501,Closest Point,water.csv,,,,,
Hazel River ,38.6341276,-78.3237045,River/Stream,0.006745881,Closest Point,water.csv,,,,,
Helicopter Waterhole ,36.5701455,-81.9250797,Pond,0.003346397,Closest Point,water.csv,,,,,
Hell Hollow Brook ,42.906673000088055,-73.08737339981374,River/Stream,0,Intersection Point,water.csv,,,,,
Hemlock Lake ,41.110449999999986,-74.89915399999998,Lake,0.004295821,Closest Point,water.csv,,,,,
Henderson Brook ,45.473932473606176,-69.29441535124774,River/Stream,0.0001443,Closest Point,water.csv,,,,,
Henderson Brook ,45.476061586688395,-69.29236150623255,River/Stream,0.000410006,Closest Point,water.csv,,,,,
Henderson Brook ,45.4719027,-69.2953795,River/Stream,0.001376117,Closest Point,water.csv,,,,,
Hessian Lake ,41.316085599999994,-73.9898448,Lake,0.000373357,Closest Point,water.csv,,,,,
Hickory Flat Branch ,36.45052870000001,-81.9772544,River/Stream,0.000671431,Closest Point,water.csv,,,,,
Hickory Flat Branch ,36.4487977,-81.97888819999999,River/Stream,0.005121848,Closest Point,water.csv,,,,,
Hidden Lake ,41.441385600000004,-73.8447684,Lake,0.002507397,Closest Point,water.csv,,,,,
Higley Brook ,42.28158382264918,-73.16358043395428,River/Stream,0,Intersection Point,water.csv,,,,,
Hiller Brook ,41.59275515982522,-73.58758764022761,River/Stream,0.000395178,Closest Point,water.csv,,,,,
Hiller Brook ,41.59271366454081,-73.59037971697884,River/Stream,0.000918324,Closest Point,water.csv,,,,,
Hiller Brook ,41.59393470232491,-73.58506458805873,River/Stream,0.002136012,Closest Point,water.csv,,,,,
Hog Camp Gap Spring ,37.7611716,-79.1911526,Spring,0,Original Point,water.csv,,,,,
Holder Creek ,36.1047744,-82.1300488,River/Stream,0.003016651,Closest Point,water.csv,,,,,
Holder Creek ,36.104252764123714,-82.12829380077265,River/Stream,0.003678012,Closest Point,water.csv,,,,,
Holder Creek ,36.104284457221816,-82.1268095073015,River/Stream,0.004138763,Closest Point,water.csv,,,,,
Hollenbeck River ,41.9718378,-73.3741855,River/Stream,0.005626295,Closest Point,water.csv,,,,,
Holly Brook ,45.26862340000001,-69.9608155,River/Stream,0.000265844,Closest Point,water.csv,,,,,
Home Stone Brook ,43.41111958620818,-72.9407767819593,River/Stream,0,Intersection Point,water.csv,,,,,
Hoosic River ,42.700597551925505,-73.15536580013122,River/Stream,0,Intersection Point,water.csv,,,,,
Hop Brook ,42.234350386712094,-73.19650712644331,River/Stream,0,Intersection Point,water.csv,,,,,
Hopper Brook ,42.631701,-73.1763085,River/Stream,0.003097953,Closest Point,water.csv,,,,,
Hopper Brook ,42.6309859,-73.17816049999999,River/Stream,0.004383593,Closest Point,water.csv,,,,,
Horse Creek ,36.13477509999999,-82.01867629999998,River/Stream,0.00422193,Closest Point,water.csv,,,,,
Horselog Branch ,36.38975400000001,-82.03351739999998,River/Stream,0.004190414,Closest Point,water.csv,,,,,
Housatonic River ,42.14403293408821,-73.35976922083319,River/Stream,0,Intersection Point,water.csv,,,,,
Hubbard Brook ,42.146245289121225,-73.3897480943225,River/Stream,0,Intersection Point,water.csv,,,,,
Huckleberry Cliff Creek ,38.4882735,-78.44643019999998,River/Stream,0.004248066,Closest Point,water.csv,,,,,
Hudson River Río Hudson ,41.31994593553744,-73.98302053842599,River/Stream,0,Intersection Point,water.csv,,,,,
Hunter Creek ,35.63797649999999,-83.3708773,River/Stream,0.001034706,Closest Point,water.csv,,,,,
Hunting Creek ,37.54135135008011,-79.48822208485672,River/Stream,0.007224714,Closest Point,water.csv,,,,,
Hunting Spring ,37.5616291,-79.4614632,Spring,0,Original Point,water.csv,,,,,
Hurricane Creek ,36.719367,-81.4853287,River/Stream,,Closest Point,water.csv,,,,,
Huskey Creek ,35.62201009999999,-83.39754239999999,River/Stream,0.004283099,Closest Point,water.csv,,,,,
Ike Branch ,36.43461209561886,-81.99193673872003,River/Stream,0.003353338,Closest Point,water.csv,,,,,
Inadu Creek ,35.72675949999999,-83.2381539,River/Stream,0.002371372,Closest Point,water.csv,,,,,
Indian Camp Creek ,35.7164308,-83.2562573,River/Stream,0.002381701,Closest Point,water.csv,,,,,
Indian Creek ,36.1355034,-82.2442595,River/Stream,0.00237564,Closest Point,water.csv,,,,,
Indian Flats Prong ,35.57073539999999,-83.62496029999998,River/Stream,0.003864235,Closest Point,water.csv,,,,,
Indian Grave Gap ,34.7928739,-83.714302,Other,0,Original Point,water.csv,,,,,
Indian Pitch ,45.8600944,-69.0330458,Rapid,0,Original Point,water.csv,,,,,
Indian Run ,38.8367421,-78.16202799999999,River/Stream,0.009251117,Closest Point,water.csv,,,,,
Indian Stream ,45.4297625335349,-69.33211803356743,River/Stream,0.002525673,Closest Point,water.csv,,,,,
Israel Creek ,39.32853356354005,-77.6832072117296,River/Stream,0,Intersection Point,water.csv,,,,,
Ivy Branch ,35.5534265,-83.77552569999999,River/Stream,0.002151685,Closest Point,water.csv,,,,,
Ivy Creek ,38.27062199059068,-78.65875154392386,River/Stream,0,Intersection Point,water.csv,,,,,
Jackson Brook ,45.2831681,-69.5628119,River/Stream,0.004431871,Closest Point,water.csv,,,,,
Jacksonburg Creek ,41.07054657974254,-74.94100986624022,River/Stream,0.00441636,Closest Point,water.csv,,,,,
James Brook ,45.3664047,-69.4646859,River/Stream,0.002823504,Closest Point,water.csv,,,,,
James Camp Branch ,35.5692989,-83.5912009,River/Stream,0.003408639,Closest Point,water.csv,,,,,
James River ,37.59567243524122,-79.39094925582613,River/Stream,0,Intersection Point,water.csv,,,,,
Jennings Creek ,37.529424830303384,-79.62228729319976,River/Stream,0,Intersection Point,water.csv,,,,,
Jeremys Run ,38.7438312,-78.3145219,River/Stream,0.004758956,Closest Point,water.csv,,,,,
John Allen Pond ,41.425603900000006,-73.8553177,Other,0.005373366,Closest Point,water.csv,,,,,
Johns Camp Branch ,36.10581219892597,-82.09223153020785,River/Stream,0.003281012,Closest Point,water.csv,,,,,
Jonas Creek ,35.5645911,-83.5596795,River/Stream,0.0035235,Closest Point,water.csv,,,,,
Jones Branch ,36.10671548892652,-82.42437228192132,River/Stream,0,Intersection Point,water.csv,,,,,
Jones Falls ,36.2029874,-81.9822407,Waterfall,0,Original Point,water.csv,,,,,
Jones Pond ,45.116625199999994,-70.3502038,Other,0.002487386,Closest Point,water.csv,,,,,
Jones Run ,38.231737496171576,-78.7241988641504,River/Stream,0.003557675,Closest Point,water.csv,,,,,
Juniata River,40.40264707481108,-77.01282415683892,River/Stream,0,Intersection Point,water.csv,,,,,
Juniper Knee Pond ,45.3546031,-69.4797787,Other,0.006613972,Closest Point,water.csv,,,,,
Kalanu Prong ,35.6613919,-83.3513013,River/Stream,0.003699285,Closest Point,water.csv,,,,,
Katahdin Falls ,45.8958904,-68.9821859,Waterfall,0,Original Point,water.csv,,,,,
Katahdin Sream ,45.88076025797906,-69.00241316430065,River/Stream,0,Intersection Point,water.csv,,,,,
Katahdin Stream ,45.895623199954535,-68.98371430054699,River/Stream,0,Intersection Point,water.csv,,,,,
Kennebec River ,45.23607708080288,-70.00124716218149,River/Stream,0,Intersection Point,water.csv,,,,,
Kennebec River Ferry East Access ,45.2362382,-70.0004495,Other,0,Original Point,water.csv,,,,,
Kennebec River Ferry West Access ,45.2356853,-70.0021904,Other,0,Original Point,water.csv,,,,,
Kent Brook ,43.67413316807455,-72.80740886389478,River/Stream,0,Intersection Point,water.csv,,,,,
Kent Falls Brook ,41.77773239554681,-73.41924868725144,River/Stream,0.001065827,Closest Point,water.csv,,,,,
Kent Falls Brook ,41.7784728,-73.4183004,River/Stream,0.002094109,Closest Point,water.csv,,,,,
Kent Falls Kent Falls ,41.7755718,-73.4147864,Waterfall,0,Original Point,water.csv,,,,,
Kent Pond ,43.6740313,-72.8041627,Other,0.000196212,Closest Point,water.csv,,,,,
Kent Pond Dam ,43.6756052,-72.7993624,Dam,0,Original Point,water.csv,,,,,
Kimberling Creek ,37.170253232579256,-80.90267699868936,River/Stream,0,Intersection Point,water.csv,,,,,
Kimsey Creek ,35.0434248,-83.5505861,River/Stream,0.002886336,Closest Point,water.csv,,,,,
Kinsman Falls ,44.1218069,-71.689648,Waterfall,0,Original Point,water.csv,,,,,
Kinsman Pond ,44.13803355940676,-71.73299540329393,Other,0.000548396,Closest Point,water.csv,,,,,
Kitchen Brook ,42.581727,-73.17721550000002,River/Stream,0.005337651,Closest Point,water.csv,,,,,
Kite Branch ,36.3494295,-82.0771243,River/Stream,0.004236467,Closest Point,water.csv,,,,,
Kite Hollow ,38.531571919708405,-78.43036508547601,River/Stream,0,Intersection Point,water.csv,,,,,
Kittatinny Lake ,41.17065199999999,-74.797748,Lake,0.003418883,Closest Point,water.csv,,,,,
Kittatinny Lake Dam ,41.1778685,-74.7935006,Lake,0,Original Point,water.csv,,,,,
Kloibers Pond ,41.26921499999999,-74.210501,Other,0.001548984,Closest Point,water.csv,,,,,
Knob Run ,39.97322499999999,-77.4444803,River/Stream,0.004956644,Closest Point,water.csv,,,,,
Kuwahi Branch ,35.562701999999994,-83.51033789999998,River/Stream,0.006397214,Closest Point,water.csv,,,,,
Lënapei Sipu Delaware River Delaware River Río Delaware ,40.976763051160994,-75.13552242713189,River/Stream,0,Intersection Point,water.csv,,,,,
Lake Culpeper ,38.85815689999999,-78.16645929999999,Lake,0.003434594,Closest Point,water.csv,,,,,
Lake Front Royal ,38.87741092916258,-78.14898324857155,Lake,0.000734636,Closest Point,water.csv,,,,,
Lake Front Royal Dam ,38.8770114,-78.1510602,Lake,0,Original Point,water.csv,,,,,
Lake Marcia ,41.316594,-74.66475979999998,Lake,0.001105198,Closest Point,water.csv,,,,,
Lake Marcia Dam ,41.3150945,-74.6684962,Lake,0,Original Point,water.csv,,,,,
Lake Owassa ,41.159696,-74.817054,Lake,0.006628618,Closest Point,water.csv,,,,,
Lake Quigley ,39.32312470049127,-77.73673342147796,Lake,0.000783209,Closest Point,water.csv,,,,,
Lake Success ,41.112105,-74.894926,Lake,0.004465727,Closest Point,water.csv,,,,,
Lands Run ,38.817958,-78.17749860000002,River/Stream,0.00849828,Closest Point,water.csv,,,,,
Laurel Creek ,36.63416032682058,-81.7857023427931,River/Stream,,Intersection Point,water.csv,,,,,
Laurel Falls ,36.272754,-82.134928,Waterfall,0,Original Point,water.csv,,,,,
Laurel Fork ,36.27072130193785,-82.13030772341418,River/Stream,0,Intersection Point,water.csv,,,,,
Lawson Gant Lot Branch ,35.551604399999995,-83.7791025,River/Stream,0.006948548,Closest Point,water.csv,,,,,
Laymantown Creek ,37.398137,-79.84915199999999,River/Stream,0.002404627,Closest Point,water.csv,,,,,
Leadmine Brook ,44.442186849489424,-71.11997674307221,River/Stream,0,Intersection Point,water.csv,,,,,
Lean-To Branch ,35.5654847,-83.57277649999999,River/Stream,0.003665729,Closest Point,water.csv,,,,,
Ledbetter Creek ,35.3241087,-83.68505340000002,River/Stream,0.003743569,Closest Point,water.csv,,,,,
Lee Run ,38.35998089999998,-78.5462645,River/Stream,0.002556921,Closest Point,water.csv,,,,,
Left Fork Deep Creek ,35.592213,-83.4632543,River/Stream,0.022342993,Closest Point,water.csv,,,,,
Left Fork Hurley Branch ,36.4202011,-82.0068321,River/Stream,0.005244423,Closest Point,water.csv,,,,,
Left Fork Raven Fork ,35.69012419999999,-83.2591195,River/Stream,0.00393659,Closest Point,water.csv,,,,,
Left Prong Anthony Creek ,35.56395739999999,-83.7538281,River/Stream,0.003934775,Closest Point,water.csv,,,,,
Left Prong Hampton Creek ,36.12429824634533,-82.04227996988206,River/Stream,0.004855859,Closest Point,water.csv,,,,,
Left Prong Hodge Branch ,36.42576959842834,-81.99858201605508,River/Stream,0.001806258,Closest Point,water.csv,,,,,
Left Prong Hodge Branch ,36.43004249999999,-81.9951591,River/Stream,0.004785354,Closest Point,water.csv,,,,,
Lemons Run ,37.400169318783156,-79.88543410801613,River/Stream,0,Intersection Point,water.csv,,,,,
Leonard Branch ,36.23463269999999,-82.11665239999999,River/Stream,0.002721677,Closest Point,water.csv,,,,,
Leonard Branch ,36.23119119999999,-82.1142827,River/Stream,0.00276133,Closest Point,water.csv,,,,,
Leonard Branch ,36.22882176065343,-82.11155317362893,River/Stream,0.00491236,Closest Point,water.csv,,,,,
Lester Prong ,35.634155471436266,-83.38400289627239,River/Stream,0.003797229,Closest Point,water.csv,,,,,
Lewellyn Branch ,35.48341609999999,-83.814509,River/Stream,0.001267871,Closest Point,water.csv,,,,,
Lewellyn Branch ,35.466240000000006,-83.8136216,River/Stream,0.003731957,Closest Point,water.csv,,,,,
Lewellyn Branch ,35.4789515,-83.80947169999999,River/Stream,0.004372488,Closest Point,water.csv,,,,,
Lewellyn Branch ,35.4747431,-83.8105448,River/Stream,0.00500824,Closest Point,water.csv,,,,,
Lewis Fork ,36.68880610000001,-81.50994499999999,River/Stream,,Closest Point,water.csv,,,,,
Lewis Spring ,38.5194099,-78.4438119,Spring,0,Original Point,water.csv,,,,,
Lewis Spring Falls ,38.5202088,-78.4498025,Waterfall,0,Original Point,water.csv,,,,,
Liberty Spring ,44.1170635,-71.6467656,Spring,0,Original Point,water.csv,,,,,
Lily Pad Pond ,45.872894599999995,-69.0382632,Other,0.002551671,Closest Point,water.csv,,,,,
Lily Pond ,45.34153403182132,-69.50877066444674,Other,0.000344488,Closest Point,water.csv,,,,,
Lindy Camp Branch ,36.471439399999994,-81.9555152,River/Stream,0.00225132,Closest Point,water.csv,,,,,
Lindy Camp Branch ,36.46649253980823,-81.95935183647092,River/Stream,0.002799847,Closest Point,water.csv,,,,,
Lindy Camp Branch ,36.46415075783069,-81.96316849790936,River/Stream,0.005124498,Closest Point,water.csv,,,,,
Little Antietam Creek ,39.663651173225,-77.5345389655054,River/Stream,0,Intersection Point,water.csv,,,,,
Little Beaver Pond ,45.805788847254675,-69.08145703270172,Other,0.000962216,Closest Point,water.csv,,,,,
Little Black Branch ,43.38231787047735,-72.95866744212441,River/Stream,0.000108173,Closest Point,water.csv,,,,,
Little Cove Creek ,36.1079859,-82.108833,River/Stream,0.00675906,Closest Point,water.csv,,,,,
Little Dam Lake ,41.26376487787107,-74.19015680277155,Lake,0.00013169,Closest Point,water.csv,,,,,
Little Dam Lake Dam ,41.263996330461154,-74.19002915500607,Lake,0.002767247,Closest Point,water.csv,,,,,
Little Devil Stairs Run ,38.759275699999996,-78.2660195,River/Stream,0.004089602,Closest Point,water.csv,,,,,
Little Elk Creek ,36.1487451622914,-82.0109744811785,River/Stream,0.002105209,Closest Point,water.csv,,,,,
Little Grass Pond ,45.23904373697407,-70.04572204123427,Other,0.001291344,Closest Point,water.csv,,,,,
Little Horse Creek ,36.137291043682,-82.00254446521589,River/Stream,0.005149643,Closest Point,water.csv,,,,,
Little Hurd Pond ,45.818588511589574,-69.0296069856636,Pond,0.005907027,Closest Point,water.csv,,,,,
Little Irish Creek ,37.670845949099665,-79.28345710585678,River/Stream,0.000437425,Closest Point,water.csv,,,,,
Little Irish Creek ,37.67134479841098,-79.28357397170063,River/Stream,0.000441837,Closest Point,water.csv,,,,,
Little Irish Creek ,37.67543182980897,-79.28783132533378,River/Stream,0.000487746,Closest Point,water.csv,,,,,
Little Irish Creek ,37.6771514,-79.32823299999998,River/Stream,0.000857445,Closest Point,water.csv,,,,,
Little Irish Creek ,37.676221999999996,-79.33254219999999,River/Stream,0.001087951,Closest Point,water.csv,,,,,
Little Irish Creek ,37.6754225,-79.3345258,River/Stream,0.001294311,Closest Point,water.csv,,,,,
Little Irish Creek ,37.67533881990828,-79.33564164591867,River/Stream,0.001324103,Closest Point,water.csv,,,,,
Little Irish Creek ,37.67579189999999,-79.2948398,River/Stream,0.002305664,Closest Point,water.csv,,,,,
Little Irish Creek ,37.6772461,-79.32589439999998,River/Stream,0.002507715,Closest Point,water.csv,,,,,
Little Irish Creek ,37.676813,-79.3240088,River/Stream,0.002821597,Closest Point,water.csv,,,,,
Little Irish Creek ,37.6756857,-79.3203288,River/Stream,0.003620036,Closest Point,water.csv,,,,,
Little Irish Creek ,37.674787768856646,-79.31551928537556,River/Stream,0.004238355,Closest Point,water.csv,,,,,
Little Irish Creek ,37.67309752784402,-79.29880788308886,River/Stream,0.004407754,Closest Point,water.csv,,,,,
Little Irish Creek ,37.672925899999996,-79.308275,River/Stream,0.004719456,Closest Point,water.csv,,,,,
Little Laurel Branch ,36.33148700000001,-82.10484169999998,River/Stream,0.005232525,Closest Point,water.csv,,,,,
Little Laurel Branch ,36.223598499999994,-81.99297059999999,River/Stream,0.005958895,Closest Point,water.csv,,,,,
Little Lyman Prong ,35.0452469,-83.54825109999999,River/Stream,0.00103088,Closest Point,water.csv,,,,,
Little Mud Pond ,43.139041799999994,-72.97874479999999,Pond,0.004445571,Closest Point,water.csv,,,,,
Little Niagara Creek ,35.6745169,-83.2837598,River/Stream,0.002337013,Closest Point,water.csv,,,,,
Little Niagara Falls ,45.8724196,-69.0395694,Waterfall,0,Original Point,water.csv,,,,,
Little Pond ,42.9257982,-73.07136369999999,Other,0.004354263,Closest Point,water.csv,,,,,
Little Pond Brook ,42.9381123,-73.0590649,River/Stream,0.007755849,Closest Point,water.csv,,,,,
Little River ,35.57739150849222,-83.48076190376419,River/Stream,0.002610294,Closest Point,water.csv,,,,,
Little River ,44.1876575,-71.5547854,River/Stream,0.010348682,Closest Point,water.csv,,,,,
Little Rock Creek ,35.7254561,-83.23103439999998,River/Stream,0.005683617,Closest Point,water.csv,,,,,
Little Schuylkill River ,40.580075846421046,-76.02635906121824,River/Stream,0,Intersection Point,water.csv,,,,,
Little Spivey Creek ,36.03378570000001,-82.42102329999999,River/Stream,0.005461282,Closest Point,water.csv,,,,,
Little Swift River Pond ,44.85143905777537,-70.58992733416305,Other,0.000280928,Closest Point,water.csv,,,,,
Little Tennessee River ,35.452672340312795,-83.80456365909443,River/Stream,0,Intersection Point,water.csv,,,,,
Little Tommy Branch ,35.51423739999999,-83.8103696,River/Stream,0.00437533,Closest Point,water.csv,,,,,
Little Wilson Stream ,45.37587256916913,-69.46869535758901,River/Stream,0,Intersection Point,water.csv,,,,,
Little Wilson Upper Falls ,45.3736449,-69.4717806,Waterfall,0,Original Point,water.csv,,,,,
Logan Brook ,45.5637447,-69.23156709999999,River/Stream,0.000212993,Closest Point,water.csv,,,,,
Lonesome Branch ,35.5379192,-83.80813,River/Stream,0.007373447,Closest Point,water.csv,,,,,
Lonesome Lake ,44.13822140012809,-71.70215080435544,Lake,4.88E-05,Closest Point,water.csv,,,,,
Long Branch ,36.06747530639932,-82.43709396980955,River/Stream,0,Intersection Point,water.csv,,,,,
Long House Creek ,41.196394720353496,-74.35489392487152,River/Stream,0,Intersection Point,water.csv,,,,,
Long Pine Pond ,41.097682424784274,-74.90245456699078,Other,0.003185891,Closest Point,water.csv,,,,,
Long Pond ,44.8501416,-70.6743595,Other,0.003159901,Closest Point,water.csv,,,,,
Long Pond Stream ,45.417063203214845,-69.41951174124775,River/Stream,0,Intersection Point,water.csv,,,,,
Lost Cove Creek ,35.4844468,-83.80974629999999,River/Stream,0.003666452,Closest Point,water.csv,,,,,
Lost Pond ,44.25010177959392,-71.25023789405913,Pond,0,Intersection Point,water.csv,,,,,
Lost Prong ,35.673581000000006,-83.29320589999999,River/Stream,0.002987569,Closest Point,water.csv,,,,,
Lost River ,44.040485661307386,-71.79276614376515,River/Stream,0.003042115,Closest Point,water.csv,,,,,
Lost River ,44.04174958606564,-71.78882979582791,River/Stream,0.004061743,Closest Point,water.csv,,,,,
Lost River ,44.0508753,-71.76975509999998,River/Stream,0.015637888,Closest Point,water.csv,,,,,
Louemma Lake ,41.25712599999999,-74.501177,Lake,0.002726336,Closest Point,water.csv,,,,,
Low Gap Branch ,35.73656140000001,-83.1811022,River/Stream,0.000799871,Closest Point,water.csv,,,,,
Low Gap Branch ,35.734789400000004,-83.180888,River/Stream,0.005208756,Closest Point,water.csv,,,,,
Lower Falls ,45.7668729,-69.1856056,Waterfall,0,Original Point,water.csv,,,,,
Lower Lake of the Clouds ,44.25902230931063,-71.31671714065172,Lake,8.65E-05,Closest Point,water.csv,,,,,
Lower Nidifer Branch ,36.374802499999994,-82.04964009999999,River/Stream,0.002908787,Closest Point,water.csv,,,,,
Lower Nidifer Branch ,36.3709088,-82.05443849999999,River/Stream,0.003958557,Closest Point,water.csv,,,,,
Lyddies Creek ,36.1141994,-82.13533940000002,River/Stream,0.004040566,Closest Point,water.csv,,,,,
Lynchburg Reservoir ,37.67746050000001,-79.2753348,Other,0.000914166,Closest Point,water.csv,,,,,
Macedonia Brook ,41.731272538629035,-73.48850600925645,River/Stream,0,Intersection Point,water.csv,,,,,
Mack Branch ,36.47021509999999,-81.954073,River/Stream,0.003800623,Closest Point,water.csv,,,,,
Madison Run ,38.2334791,-78.7210271,River/Stream,0.008356073,Closest Point,water.csv,,,,,
Maidenhead Branch ,37.830404,-79.10891179999999,River/Stream,0.007966904,Closest Point,water.csv,,,,,
Manassas Run ,38.896405805786976,-78.07324601103997,River/Stream,0,Intersection Point,water.csv,,,,,
Marble Spring ,37.5708753,-79.4381476,Spring,0,Original Point,water.csv,,,,,
Martin Creek ,36.10431518365659,-82.38612660509908,River/Stream,0,Intersection Point,water.csv,,,,,
Matts Creek ,37.5995222,-79.41343439999999,River/Stream,0,Intersection Point,water.csv,,,,,
McAfee Run ,37.37139016212946,-80.14940186121045,River/Stream,0,Intersection Point,water.csv,,,,,
McGinn Brook ,43.32109028033642,-72.95596036971686,River/Stream,0,Intersection Point,water.csv,,,,,
Meigs Post Prong ,35.58331019999999,-83.4788141,River/Stream,0.005534429,Closest Point,water.csv,,,,,
Mendon Brook ,43.66638779421883,-72.85053826078097,River/Stream,0,Intersection Point,water.csv,,,,,
Merry Brook ,42.25466403154473,-73.1761654977008,River/Stream,0,Intersection Point,water.csv,,,,,
Middle Carry Pond ,45.1805792,-70.0661099,Other,0.004997632,Closest Point,water.csv,,,,,
Middle Fork Helton Creek ,36.6512875,-81.54269729999999,River/Stream,,Closest Point,water.csv,,,,,
Mill Creek ,36.194543,-82.00288270000001,River/Stream,0.002376886,Closest Point,water.csv,,,,,
Mill Creek ,35.56140489999999,-83.77624219999998,River/Stream,0.003066177,Closest Point,water.csv,,,,,
Mill Prong ,38.4972063,-78.43965699999998,River/Stream,0.004991071,Closest Point,water.csv,,,,,
Mill River ,43.52020550887534,-72.92539921566555,River/Stream,0,Intersection Point,water.csv,,,,,
Millard Brook ,41.795899,-73.4031668,River/Stream,0.001336118,Closest Point,water.csv,,,,,
Millard Brook ,41.796500059528526,-73.40252788838885,River/Stream,0.005187416,Closest Point,water.csv,,,,,
Mine Branch ,36.08062982159251,-82.45736974265519,River/Stream,0,Intersection Point,water.csv,,,,,
Mineral Gap Branch ,35.5684479,-83.6860819,River/Stream,0.001296051,Closest Point,water.csv,,,,,
Minnie Ball Branch ,35.6107695,-83.4207846,River/Stream,0.002838206,Closest Point,water.csv,,,,,
Moccasin Branch ,35.59522389999999,-83.4628058,River/Stream,0.007176248,Closest Point,water.csv,,,,,
Mocks Mill Falls ,36.63533329888086,-81.79018530073581,Dam,,Closest Point,water.csv,,,,,
Mombasha Lake ,41.269757,-74.208343,Lake,0.002401773,Closest Point,water.csv,,,,,
Money Brook ,42.668149099999994,-73.1634919,River/Stream,0.005447321,Closest Point,water.csv,,,,,
Monroe Brook ,44.2536102,-71.32580699999998,River/Stream,0.008150051,Closest Point,water.csv,,,,,
Moody Brook ,44.702381800000005,-70.82154569999999,River/Stream,0.011285571,Closest Point,water.csv,,,,,
Moore Brook ,41.9932084,-73.4136645,River/Stream,0.004893538,Closest Point,water.csv,,,,,
Moreland Branch ,36.222904899999996,-82.0958894,River/Stream,0.00351486,Closest Point,water.csv,,,,,
Moreland Branch ,36.2213246,-82.0932072,River/Stream,0.00474953,Closest Point,water.csv,,,,,
Moreland Branch ,36.21820954508536,-82.07853097932892,River/Stream,0.006705096,Closest Point,water.csv,,,,,
Morgan Branch ,36.1561456,-82.016895,River/Stream,0.000881771,Closest Point,water.csv,,,,,
Morgan Branch ,36.1578081,-82.0155238,River/Stream,0.003852521,Closest Point,water.csv,,,,,
Morgan Branch ,36.1633539,-82.0146711,River/Stream,0.004912377,Closest Point,water.csv,,,,,
Morgan Mill Stream ,39.05893729639915,-77.92996126353101,River/Stream,0,Intersection Point,water.csv,,,,,
Morris Branch ,35.3366115,-83.6020296,River/Stream,0.001654187,Closest Point,water.csv,,,,,
Morris Branch ,35.33322929999999,-83.6002019,River/Stream,0.001960757,Closest Point,water.csv,,,,,
Mount Williams Reservoir ,42.68565759999999,-73.1599825,Other,0.002185125,Closest Point,water.csv,,,,,
Mount Williams Reservoir Dam ,42.686971099999994,-73.1598046,Dam,0.002373033,Closest Point,water.csv,,,,,
Mountain Brook ,44.77366329999999,-70.7668608,River/Stream,0.006681875,Closest Point,water.csv,,,,,
Mountain Creek,40.03084895037791,-77.29781455795444,River/Stream,0,Intersection Point,water.csv,,,,,
Mountain View Pond ,45.607598,-69.17454869999999,Other,0.000675399,Closest Point,water.csv,,,,,
Mountaineer Falls ,36.219664,-81.9848085,Waterfall,0,Original Point,water.csv,,,,,
Moxie Pond ,44.84605789484658,-70.68590262551879,Other,0.000183438,Closest Point,water.csv,,,,,
