Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Buena Vista Road,39.72475407620087,-77.49447356,residential,394916,,crossing.csv,,,,,
Bulls Bridge Road,41.67576960580858,-73.51447446,tertiary,3352289,,crossing.csv,,,,,
Bunkerhill Road,40.03828494145862,-77.32864363,unclassified,394916,,crossing.csv,,,,,
Burkes Garden Road,37.0770689,-81.3070118,tertiary,2007649,SR 623,crossing.csv,,,,,
Burton Woods Road,43.724009,-72.38912999,track,392991,,crossing.csv,,,,,
Campbell Hollow Road,36.204099592711415,-81.99732881,residential,2007647,,crossing.csv,,,,,
Canaan Road,41.98909429054313,-73.41754536,trunk,3352289,US 44,crossing.csv,,,,,
Canopus Hill Road,41.38743289999999,-73.8789475,unclassified,2007688,,crossing.csv,,,,,
Cape Moonshine Road,43.915781489320565,-71.9644599,unclassified,2007646,,crossing.csv,,,,,
Caribou Valley Road,45.03960789653329,-70.34467917,track,2007932,,crossing.csv,,,,,
Carlisle Road,40.0797409,-77.1929029,primary,394916,PA 34,crossing.csv,,,,,
Carnegie Road,41.288632,-74.538887,residential,2007688,,crossing.csv,,,,,
Carrabassett Road,45.10353888545407,-70.35680723,primary,2007932,ME 27;ME 16,crossing.csv,,,,,
Carrying Place Road,45.203379370664365,-70.07306615,service,2007932,,crossing.csv,,,,,
Carter Notch,44.2616561,-71.1956126,,2007646,,crossing.csv,,,,,
Catamount Trail,43.56473354772596,-72.84942677,track,392991,,crossing.csv,,,,,
Catawba Valley Drive,37.380308528720626,-80.08927526,primary,2007649,VA 311,crossing.csv,,,,,
Catherine Street,42.69397885354859,-73.15712535,residential,2991960,,crossing.csv,,,,,
Catpen Road,35.82537658205697,-82.9374777,track,2007647,FS 3505,crossing.csv,,,,,
Cemetery Lane,43.702454846437014,-72.29210627,service,2007646,,crossing.csv,,,,,
Cemetery Street,40.400481188064234,-77.02139018,residential,394916,,crossing.csv,,,,,
Centennial Avenue,42.47189266393484,-73.15671189,residential,2991960,,crossing.csv,,,,,
Chambersburg Water Line Trail,39.90996456783277,-77.48653517,track,394916,,crossing.csv,,,,,
